MSOAcode,Population,Population70AndOver
E02001713,10268,1387
E02001714,9513,1096
E02001715,11456,1176
E02001718,5870,753
E02001719,8723,1192
E02001720,9640,541
E02001721,10295,1671
E02001722,9903,1582
E02001723,6522,684
E02001724,9176,701
E02001725,10330,588
E02001726,12360,1233
E02001727,8377,1176
E02001728,9474,1320
E02001729,13831,544
E02001730,19868,588
E02001731,19855,649
E02001732,5193,597
E02001733,12217,1229
E02001734,8302,910
E02001735,6701,662
E02001736,14311,842
E02001737,6118,831
E02006893,10354,2257
E08000022,205985,29308
E02001738,5974,1476
E02001739,7386,1101
E02001740,6008,919
E02001741,7675,1618
E02001742,5929,1052
E02001743,7647,910
E02001744,7330,949
E02001745,6595,839
E02001746,8250,1188
E02001747,6196,1382
E02001748,8093,794
E02001749,6252,975
E02001750,6778,1202
E02001751,5973,932
E02001752,6427,857
E02001753,6253,1030
E02001754,5931,1032
E02001755,8918,1235
E02001756,9576,1044
E02001757,5836,1031
E02001758,5483,659
E02001759,6152,891
E02001760,7877,736
E02001761,5408,956
E02001762,5755,726
E02001763,6404,760
E02001764,7689,782
E02001765,7700,769
E02001766,7543,598
E02001767,6947,865
E08000023,150265,21301
E02001768,8470,950
E02001769,8121,843
E02001770,6455,891
E02001771,6562,1154
E02001772,5359,896
E02001773,5365,1041
E02001774,5529,711
E02001775,5576,781
E02001776,8730,998
E02001777,6172,763
E02001778,5903,769
E02001779,5590,740
E02001780,6002,942
E02001781,5419,646
E02001782,9381,1307
E02001783,7214,703
E02001784,6618,983
E02001785,7802,1407
E02001786,6826,969
E02001787,5455,850
E02001788,5867,698
E02001789,5746,1201
E02001790,6103,1058
E08000024,277417,37956
E02001791,5493,1033
E02001792,6813,1396
E02001793,8419,963
E02001794,8774,1224
E02001795,7502,988
E02001796,9598,1415
E02001797,5831,935
E02001798,8245,999
E02001799,9738,1079
E02001800,6927,843
E02001801,6800,543
E02001802,6843,763
E02001803,9990,763
E02001804,6523,956
E02001805,5871,1098
E02001806,8290,885
E02001807,7985,877
E02001808,6049,693
E02001809,6437,1172
E02001810,8429,911
E02001811,8980,1214
E02001812,10106,1925
E02001813,9939,1070
E02001814,6201,802
E02001815,9981,1496
E02001816,6831,1144
E02001817,6534,1012
E02001818,9007,1042
E02001819,6636,1357
E02001820,8973,1127
E02001821,5577,710
E02001822,7529,900
E02001823,7645,927
E02001824,8732,1496
E02001825,7043,1356
E02001826,7146,842
E06000008,148942,14894
E02002615,10146,1307
E02002616,8713,897
E02002617,9213,536
E02002618,7514,437
E02002619,8908,674
E02002620,8776,594
E02002621,8543,423
E02002622,10671,741
E02002623,10334,932
E02002624,8066,1546
E02002625,9665,779
E02002626,7226,1062
E02002627,7737,670
E02002628,6771,910
E02002629,5680,592
E02002630,6309,681
E02002631,8452,1178
E02002632,6218,935
E06000009,139305,20713
E02002633,7704,1793
E02002634,7948,1615
E02002635,8010,1682
E02002636,8202,1143
E02002637,6099,1027
E02002638,6084,737
E02002639,6123,570
E02002640,6723,563
E02002641,8149,1011
E02002642,7006,742
E02002643,7433,726
E02002644,7723,1132
E02002645,5956,539
E02002646,6849,1099
E02002647,8000,951
E02002648,7276,931
E02002649,8137,1307
E02002650,7986,1579
E02002651,7897,1566
E06000049,380790,63371
E02003853,6053,1264
E02003854,6308,1227
E02003855,6448,1548
E02003856,10806,1592
E02003857,6551,794
E02003858,6962,1250
E02003859,11854,2377
E02003860,7135,1227
E02003861,6406,1127
E02003863,6758,1330
E02003862,5114,1308
E02003864,8290,1734
E02003865,7948,1272
E02003866,5889,1034
E02003867,7577,1040
E02003868,8301,1094
E02003869,7124,1318
E02003870,10386,1216
E02003871,6726,1069
E02003872,9538,2099
E02003873,5963,718
E02003811,6463,1308
E02003812,6046,1351
E02003813,6146,1172
E02003814,7938,724
E02003815,7156,1105
E02003816,7111,1242
E02003817,6888,1471
E02003818,5495,1095
E02003819,6009,1395
E02003820,8791,855
E02003821,5354,1102
E02003822,10751,2136
E02003825,6394,481
E02003826,7897,849
E02003827,9624,953
E02003828,6924,871
E02003829,5746,1104
E02003830,8107,686
E02003823,6529,1496
E02003831,9532,1572
E02003824,5365,966
E02003832,6350,458
E02003833,6075,849
E02003834,7162,650
E02003835,7777,1749
E02003836,6987,1574
E02003838,6740,1226
E02003837,13828,1666
E02003839,7083,1562
E02003840,10385,2065
E06000050,340502,52801
E02003841,7887,1626
E02003874,9279,1837
