MSOAcode,Population,Population70AndOver
E02002692,8906,1519
E02002693,7097,1433
E02002694,11761,2168
E02002695,8364,2067
E02002696,5937,1035
E02002697,7698,1519
E02002698,8358,1410
E02002699,9739,1858
E02002700,6353,879
E02002701,8422,1339
E02002702,10040,1847
E02002703,8852,1467
E02002704,7103,1433
E02002705,6418,1504
E02002706,7177,1283
E02002707,7223,1308
E02002708,6602,1581
E02002709,7986,1309
E02002710,7527,1429
E02002711,7510,1801
E02002712,7627,1553
E02002714,7851,1441
E02002715,13335,1722
E02002716,8604,1555
E02002717,7736,1194
E02002718,7953,1736
E02002719,6202,1107
E02002720,7517,1236
E02002721,6442,1080
E02002722,8749,1722
E02002723,8759,1289
E02002724,9761,904
E02002725,6760,1076
E02006814,8244,1335
E02006891,7679,1407
E02006892,6372,1205
E06000010,260645,27290
E02002652,14568,547
E02002653,8190,876
E02002654,7969,579
E02002655,8845,817
E02002656,5038,1206
E02002657,7303,1112
E02002658,6484,992
E02002659,10950,1023
E02002660,6799,856
E02002661,8237,1085
E02002662,6794,1179
E02002663,6955,460
E02002664,7160,993
E02002665,8043,1045
E02002666,9173,494
E02002667,7156,737
E02002668,8467,1004
E02002669,8253,493
E02002670,7809,1181
E02002671,8674,839
E02002672,7517,690
E02002673,7500,765
E02002674,6511,817
E02002675,9125,640
E02002676,7368,672
E02002677,8393,790
E02002678,8041,697
E02002679,7531,1115
E02002680,9576,796
E02002681,8883,642
E02002682,9438,851
E02006813,7895,1297
E06000012,159821,23480
E02002726,10396,1539
E02002727,5533,610
E02002728,7685,707
E02002729,5831,809
E02002730,7650,528
E02002731,6056,377
E02002732,7855,1247
E02002733,5761,811
E02002734,5651,862
E02002735,5192,573
E02002736,5946,341
E02002737,7163,1031
E02002738,7022,904
E02002739,5989,922
E02002740,5557,720
E02002741,8949,1262
E02002742,5585,1143
E02002743,5539,1566
E02002744,7199,570
E02002745,7287,1843
E02002746,9869,1728
E02002747,8286,1695
E02002748,7820,1692
E06000013,172005,25453
E02002749,11709,1733
E02002750,6293,974
E02002751,6491,1082
E02002752,7079,1023
E02002753,8609,1768
E02002754,8402,1242
E02002755,7771,748
E02002756,9363,569
E02002757,6437,812
E02002758,6250,584
E02002759,9651,1724
E02002760,5980,889
E02002761,6674,1130
E02002762,6698,962
E02002763,8733,818
E02002764,5972,620
E02002765,6384,932
E02002766,9072,1469
E02002767,6626,1284
E02002768,7613,1236
E02002769,5803,1267
E02002770,7109,1192
E02002771,7286,1395
E06000014,209893,28252
E02002772,7020,934
E02002773,5749,1406
E02002774,6136,1341
E02002775,5750,1336
E02002776,6910,1224
E02002777,8358,765
E02002778,8454,1455
E02002779,9673,1799
E02002780,8781,707
E02002781,11288,820
E02002782,6416,1329
E02002783,10532,1453
E02002784,13137,1019
E02002785,8251,1260
E02002786,11357,633
E02002787,9330,1238
E02002788,9061,773
E02002789,9238,985
E02002790,12984,1027
E02002791,6524,1396
E02002792,7672,1032
E02002793,9442,1606
E02002794,9542,1003
E02002795,8288,1711
E07000163,56832,11093
E02005742,7472,1566
E02005743,5047,1303
E02005744,7910,1806
E02005745,5275,1103
E02005746,6739,1217
E02005747,6851,946
E02005748,7623,1208
E02005749,9915,1944
E07000164,91134,17204
E02005750,7680,1670
E02005751,8597,2168
E02005752,6606,1249
E02005753,13451,2274
E02005754,7561,1706
E02005755,6792,1308
E02005756,6976,943
E02005757,8685,1612
E02005758,8892,1486
E02005759,9204,1892
E02005760,6690,896
E07000165,160533,27550
E02005761,5481,1041
E02005762,6069,1076
E02005763,6512,1136
E02005764,10405,1962
E02005765,6445,1286
E02005766,6088,1129
E02005767,7079,1333
E02005768,6741,906
E02005769,7013,1319
E02005770,9180,1566
E02005771,7461,845
E02005772,5947,1269
E02005773,9046,1087
E02005774,9407,1392
E02005775,9786,1277
E02005776,9240,1324
E02005777,8467,1565
E02005778,5922,1115
E02005779,7708,1557
E02005780,10698,2124
E02005781,5838,1241
E07000166,53244,7994
E02005782,7622,1516
E02005783,8369,1620
E02005784,6158,955
E02005785,16511,816
E02005786,5991,1305
E02005787,8593,1782
E07000167,54920,10546
E02005788,6485,1342
E02005789,10695,2494
E02005790,6837,1424
E02005791,6974,1105
E02005794,9683,1856
E02006870,14246,2325
E07000168,108736,21211
E02005795,6832,1494
E02005796,6626,1336
E02005797,6182,948
E02005798,8368,1991
E02005799,9152,2232
E02005800,7874,1023
E02005801,5572,876
E02005802,8133,829
E02005803,9136,1761
E02005804,8003,1651
E02005805,7428,1759
E02005806,7504,986
E02005807,6299,1335
E02005808,11627,2990
E07000169,89106,12604
E02005809,7485,1246
E02005810,9348,1235
E02005811,9517,1412
E02005812,10314,1234
E02005813,13107,1260
E02005814,6440,1298
E02005815,8416,1389
E02005816,8621,1189
E02005817,7269,1082
E02005818,8589,1259
E08000016,245199,33673
E02001509,6675,969
E02001510,6070,762
E02001511,6285,985
E02001512,7921,1367
E02001513,7764,1311
E02001514,7819,832
E02001515,9957,1078
E02001516,6031,637
E02001517,8157,1335
E02001518,10552,1343
E02001519,7993,878
E02001520,11288,2167
E02001521,12495,1058
E02001522,9029,1223
E02001523,7213,990
E02001524,6146,1242
E02001525,6969,817
E02001526,6359,683
E02001527,6134,972
E02001528,10585,1609
E02001529,9529,1495
E02001530,6654,646
E02001531,7647,931
E02001532,10662,1445
E02001533,7703,868
E02001534,9830,1161
E02001535,6535,1101
E02001536,8470,1540
E02001537,8478,961
E02001538,8249,1267
E08000017,310542,41847
E02001539,6317,676
E02001540,11617,1589
E02001541,11253,1730
E02001542,7722,1015
E02001543,8119,1256
E02001544,8535,1157
E02001545,8438,1527
E02001546,9223,1361
E02001547,10891,1120
E02001548,8142,853
E02001549,6191,870
E02001550,7729,968
E02001551,6068,677
E02001552,7849,880
E02001553,10215,1243
E02001554,6021,1023
E02001555,5381,974
E02001556,9529,1028
E02001557,10091,967
E02001558,6108,1254
E02001559,7574,1310
E02001560,13065,786
E02001561,6666,659
E02001562,5935,986
E02001563,8018,1481
E02001564,7982,1402
E02001565,7278,1278
E02001566,9263,580
E02001567,8971,1174
E02001568,6450,867
E02001569,9078,1038
E02001570,7071,978
E02001571,6110,1060
E02001572,7407,877
E02001573,7751,937
E02001574,6036,942
E02001575,7339,850
E02001576,6615,832
E02001577,6494,1642
E08000018,264671,37348
E02001578,11609,1052
E02001579,9811,1447
E02001580,8309,1491
E02001581,5874,798
E02001582,7708,1078
E02001583,5699,657
E02001584,6907,1098
E02001585,6364,759
E02001586,7885,1402
E02001587,5735,857
E02001588,7163,902
E02001589,7957,1117
E02001590,7617,668
E02001591,8569,715
E02001592,8676,1305
E02001593,7572,532
E02001594,8058,716
E02001595,8373,1281
E02001596,8455,1720
E02001597,9423,1108
E02001598,9551,1586
E02001599,6429,1132
E02001600,11223,1718
E02001601,4883,871
E02001602,8970,1471
E02001603,7157,974
E02001604,10270,1040
E02001605,7719,1063
E02001606,8171,1237
E02001607,8926,1407
E02001608,6856,955
E02001609,8406,1730
E02001610,8346,1461
E08000019,582506,68971
E02001611,7548,1337
E02001612,5813,931
E02001613,10316,1692
E02001614,10880,1833
E02001615,7202,1605
E02001616,7299,1218
E02001617,5898,484
E02001618,9927,1383
E02001619,9619,1180
E02001620,6901,702
E02001621,5960,649
E02001622,8914,1059
E02001623,8524,901
E02001624,9941,1115
E02001625,7900,832
E02001626,5936,778
E02001627,6180,571
E02001628,7006,586
E02001629,7015,821
E02001630,9812,722
E02001631,7806,1056
E02001632,14690,721
E02001633,7479,1558
E02001634,9359,1007
E02001635,6247,1176
E02001636,11010,979
E02001637,8496,527
E02001638,6343,332
E02001639,6229,779
E02001640,8355,511
E02001642,10268,1183
E02001643,6245,1140
E02001646,9192,566
E02001647,6307,1102
E02001648,10224,876
E02001649,9957,907
E02001650,9469,398
E02001651,7929,1500
E02001652,13376,518
E02001653,7486,695
E02001654,6195,1121
E02001655,7838,954
E02001656,8099,710
E02001657,9154,1040
E02001658,5490,550
E02001659,6093,880
E02001660,10268,961
E02001661,8181,991
E02001662,7504,1312
E02001663,7727,597
E02001664,6361,1125
E02001665,9672,1846
E02001666,6066,708
E02001669,7614,813
E02001670,6380,802
E02001671,5725,1071
E02001672,6179,1192
E02001673,5304,590
E02001674,8668,1795
E02001675,8793,1515
E02001676,5832,1076
E02001678,10280,2154
E02001679,6576,860
E02001680,6351,778
E02001681,7633,1459
E02006803,8825,1211
E02006843,18738,73
E02006844,11055,170
E02006868,13776,1123
E02006869,11071,1564
E08000032,537173,55791
E02002183,5466,1419
E02002184,13009,2859
E02002185,5867,950
E02002186,13265,2271
E02002187,5990,1128
E02002188,7691,1097
E02002189,6817,812
E02002190,11908,957
E02002191,9611,787
E02002192,9175,1673
E02002193,6129,723
E02002194,7395,1012
E02002195,6382,1189
E02002196,6305,722
E02002197,8854,1269
E02002198,8019,1248
E02002199,6575,952
E02002200,9030,1360
E02002201,12058,1346
E02002202,7321,770
E02002203,7553,804
E02002204,11607,2005
E02002205,9890,1439
E02002206,8542,1126
E02002207,7528,566
E02002208,7982,994
E02002209,6996,447
E02002210,7779,797
E02002211,7336,566
E02002212,8206,492
E02002213,7171,998
E02002214,6036,570
E02002215,10432,589
E02002216,9333,552
E02002217,10075,608
E02002218,9885,939
E02002219,8279,349
E02002220,9127,428
E02002221,16168,555
E02002222,8670,770
E02002223,7885,326
E02002224,10732,452
E02002225,8240,1061
E02002226,14976,555
E02002227,6507,374
E02002228,7737,630
E02002229,7710,884
E02002230,9845,358
E02002231,13245,1065
E02002232,7154,539
E02002233,9776,421
E02002234,8212,585
E02002235,7409,467
E02002236,6106,724
E02002237,8625,826
E02002238,6284,607
E02002239,11090,936
E02002240,10989,1192
E02002241,12026,1276
E02002242,7851,1181
E02002243,9312,1194
E08000033,210082,27432
E02002244,6121,1010
E02002245,5387,471
E02002246,9487,1602
E02002247,9276,1191
E02002248,7833,801
E02002249,5580,526
E02002250,8511,1297
E02002251,8520,1077
E02002252,6680,980
E02002253,8709,651
E02002254,6292,1039
E02002255,8076,559
E02002256,9516,1266
E02002257,6769,350
E02002258,9117,1231
E02002259,6938,981
E02002260,9279,1213
E02002261,8303,1103
E02002262,7830,1285
E02002263,6521,815
E02002264,7044,1244
E02002265,5760,838
E02002266,5766,1013
E02002267,7974,1180
E02002268,10647,1494
E02002269,9513,1213
E02002270,8633,1002
E08000034,438727,54586
E02002271,7244,1171
E02002272,9611,1283
E02002273,6775,967
E02002274,7253,1045
E02002275,8595,1241
E02002276,7566,1067
E02002277,6926,779
E02002278,6763,899
E02002279,6181,821
E02002280,6944,588
E02002281,11798,1338
E02002282,7629,548
E02002283,7655,544
E02002284,6095,870
E02002285,8138,1283
E02002286,6509,503
E02002287,7453,611
E02002288,9674,1114
E02002289,7022,336
E02002290,6435,1234
E02002291,6626,1113
E02002292,5775,832
E02002293,9177,427
E02002294,11030,728
E02002295,7318,590
E02002296,6908,1353
E02002297,6818,1018
E02002298,6743,1019
E02002299,7395,467
E02002300,7896,1265
E02002301,8431,548
E02002302,6320,929
E02002303,6615,1002
E02002304,6883,659
E02002305,6288,571
E02002306,6158,906
E02002307,5898,872
E02002308,6421,831
E02002309,7095,694
E02002310,6051,804
E02002311,6612,792
E02002312,10855,539
E02002313,8248,455
E02002314,6016,1126
E02002315,6867,596
E02002316,6448,1136
E02002317,7482,815
E02002318,6423,991
E02002319,6659,828
E02002320,6196,1118
E02002321,6935,1007
E02002322,6404,890
E02002323,8473,1414
E02002324,6705,1220
E02002325,8785,1429
E02002326,6255,952
E02002327,10036,1619
E02002328,7064,1154
E02002329,12152,1635
E08000035,789194,88219
E02002330,6429,1421
E02002331,6909,1465
E02002332,6053,1033
E02002333,7677,1421
E02002334,7036,1462
E02002335,7563,1430
E02002336,6590,1233
E02002337,7436,1120
E02002338,6935,1111
E02002339,5413,710
E02002340,5590,1005
E02002341,7167,1314
E02002342,5554,1037
E02002343,5626,718
E02002344,7592,1264
E02002345,5588,993
E02002346,5857,750
E02002347,6195,707
E02002348,6241,876
E02002349,5735,764
E02002350,6051,1128
E02002351,5316,1040
E02002352,7492,889
E02002353,5937,589
E02002354,7735,1028
E02002356,8047,1034
E02002357,7909,1009
E02002358,7830,1060
E02002359,6512,1223
E02002360,6690,696
E02002361,5815,597
E02002362,7728,748
E02002363,6735,714
E02002364,5727,697
E02002366,8013,1096
E02002367,6098,505
E02002368,8291,1095
E02002369,7190,708
E02002370,7026,729
E02002371,10103,688
E02002373,9618,308
E02002374,6845,600
E02002375,6347,409
E02002376,7816,432
E02002377,7796,333
E02002379,5450,417
E02002380,5195,733
E02002381,6128,595
E02002382,8165,232
E02002383,8701,119
E02002384,13296,439
E02002385,8585,329
E02002386,8624,1701
E02002387,5576,553
E02002388,7526,661
E02002389,7247,750
E02002390,6186,730
E02002391,7454,828
E02002392,10984,149
E02002393,9037,378
E02002394,8101,450
E02002395,6749,848
E02002396,8716,950
E02002397,7517,929
E02002398,7227,1392
E02002399,6129,571
E02002400,8593,547
E02002401,6472,546
E02002402,5486,809
E02002403,6055,1152
E02002404,10538,516
E02002405,8631,1196
E02002406,6920,1275
E02002407,6503,569
E02002408,7271,1007
E02002409,5923,769
E02002410,6675,824
E02002411,8655,470
E02002412,6880,791
E02002414,6750,536
E02002415,7381,224
E02002416,6721,1376
E02002417,6620,1047
E02002418,6906,904
E02002419,8162,792
E02002420,8462,788
E02002421,6019,523
E02002422,6178,866
E02002423,5666,587
E02002424,7527,911
E02002425,8321,1367
E02002426,7745,1253
E02002427,6804,1130
E02002428,7899,777
E02002429,8332,1128
E02002430,7534,641
E02002431,8088,752
E02002432,7115,997
E02002433,6392,845
E02002434,10012,666
E02002435,7487,1011
E02002436,6647,817
E02002437,6026,752
E02006852,11647,1117
E02006861,14055,431
E02006875,13345,100
E02006876,8305,467
E08000036,345038,46490
E02002438,8522,890
E02002439,8278,1052
E02002440,7994,1062
E02002441,9353,1213
E02002442,7290,812
E02002443,6374,687
E02002444,6121,782
E02002445,7629,1218
E02002446,5903,1003
E02002447,6255,933
E02002448,7991,1035
E02002449,8924,1127
E02002450,7147,863
E02002451,7600,1363
E02002452,8401,1059
E02002453,9767,1119
E02002454,8600,759
E02002455,6416,759
E02002456,7953,709
E02002457,8059,864
E02002458,9134,1372
E02002459,9656,981
E02002460,7072,1396
E02002461,11255,1314
E02002462,7530,1176
E02002463,10098,1016
E02002464,8575,1121
E02002465,6058,1008
E02002466,9304,1527
E02002467,8989,600
E02002468,6233,1003
E02002469,6298,968
E02002470,6137,1503
E02002471,11053,1848
E02002472,5907,965
E02002473,6568,1085
E02002474,6697,811
E02002475,6286,1096
E02002476,6348,742
E02002477,6581,914
E02002478,6165,721
E02002479,8340,1344
E02002480,5741,910
E02002481,7284,907
E02002482,7152,853
E06000015,257174,30794
E02002796,6053,1173
E02002797,7422,1935
E02002798,9627,1053
E02002799,5968,602
E02002800,7193,1201
E02002801,7562,1170
E02002802,8011,720
E02002803,8363,604
E02002804,8599,1116
E02002805,5566,1320
E02002806,6384,394
E02002807,8715,1236
E02002808,12941,665
E02002809,6830,1071
E02002810,8537,1541
E02002811,11121,534
E02002812,7445,1088
E02002813,11672,657
E02002814,7105,1443
E02002815,8603,582
E02002816,9589,932
E02002817,6303,1064
E02002818,8698,849
E02002819,7872,940
E02002820,9669,915
E02002821,12018,843
E02002822,6631,1009
E02002823,7414,1283
E02002824,9759,875
E02002825,8673,1267
E02002826,6831,712
E06000016,355218,29016
E02002827,6429,470
E02002828,7813,934
E02002829,11313,988
E02002830,10123,630
E02002831,6840,813
E02002832,9266,961
E02002833,8437,699
E02002834,10892,1164
E02002835,14478,950
E02002836,9566,969
E02002837,8469,458
E02002838,8058,778
E02002839,7916,944
E02002842,8500,304
E02002843,14274,801
E02002844,11812,768
E02002845,10925,972
E02002846,7270,929
E02002847,9972,750
E02002848,11444,644
E02002849,14711,711
E02002851,8292,1298
E02002852,7105,437
E02002853,13416,945
E02002854,8389,777
E02002855,8159,456
E02002856,12138,1152
E02002857,6649,415
E02002858,7301,1135
E02002860,7990,1192
E02002861,7657,572
E02002862,8155,931
E02006815,10237,1274
E02006817,8792,777
E02006819,8265,683
E02006850,13437,259
E02006851,10728,76
E06000018,331069,26966
E02002868,5810,1050
E02002869,7559,830
E02002871,7753,1046
E02002872,8816,847
E02002873,9558,684
E02002874,8298,768
E02002875,8597,780
E02002876,8251,858
E02002877,7741,1036
E02002878,9721,407
E02002879,9815,563
E02002880,9025,556
E02002881,6767,606
E02002882,8621,764
E02002883,7903,606
E02002884,6803,342
E02002885,9092,302
E02002886,9630,995
E02002887,6709,1112
E02002888,7488,544
E02002889,12245,192
E02002890,13479,552
E02002891,8290,890
E02002892,6086,686
E02002893,15667,402
E02002894,7089,928
E02002895,8480,333
E02002896,10686,582
E02002897,8165,1491
E02002898,11122,333
E02002899,11077,539
E02002901,6220,878
E02002902,9436,954
E02002903,6293,997
E02002904,6043,699
E02006834,7663,1086
E02006904,11290,173
E02006905,7781,555
E06000017,39697,7226
E02002863,7866,1177
E02002864,7822,1283
E02002865,7848,1624
E02002866,7623,1485
E02002867,8538,1657
E07000032,126678,19923
E02004029,6742,904
E02004030,5833,1165
E02004031,7825,883
E02004032,8393,1583
E02004033,8874,1286
E02004034,7302,1556
E02004035,6648,1386
E02004036,10349,1526
E02004037,8214,1178
E02004038,7858,1310
E02004039,8063,1192
E02004040,9454,1159
E02004041,7394,944
E02004043,7324,1200
E02004044,8440,1578
E02006827,7965,1073
E07000033,79530,11318
E02004045,9724,1467
E02004046,6237,1058
E02004047,6017,784
E02004048,6866,822
E02004049,7776,1393
E02004050,7687,1027
E02004051,9877,1311
E02004052,8424,1228
E02004053,7855,962
E02004054,9067,1266
E07000034,104628,15758
E02004055,7161,1182
E02004056,7891,874
E02004057,7862,751
E02004058,7679,1155
E02004059,7165,1329
E02004060,7612,1226
E02004061,7593,1157
E02004062,7774,1200
E02004063,7909,1515
E02004064,9632,851
E02004065,8161,1805
E02004066,11664,1845
E02004067,6525,868
E07000035,71977,13992
E02004068,7408,1491
E02004069,6433,1501
E02004070,6245,1524
E02004071,5048,982
E02004072,9047,1842
E02004073,9222,1723
E02004074,6080,1113
E02004075,7295,1350
E02004076,7233,1111
E02004077,7966,1355
E07000036,115490,17195
E02004078,7203,956
E02004080,9834,1304
E02004081,5924,1072
E02004082,6266,1279
E02004083,8074,992
E02004084,6153,1048
E02004085,9018,1539
E02004086,7296,1365
E02004087,7864,965
E02004088,7859,1240
E02004089,7261,679
E02004090,6311,1179
E02004091,9428,1338
E02004092,9943,1484
E02006828,7056,755
E07000037,92221,13570
E02004093,6353,728
E02004094,7370,856
E02004095,10216,1286
E02004096,9477,1547
E02004097,7799,1173
E02004098,7230,1118
E02004100,7836,1274
E02004102,8546,1376
E02004103,7215,874
E02004104,7375,1114
E02006872,12804,2224
E07000038,101125,18020
E02004105,9557,1199
E02004106,6772,1553
E02004108,7575,1470
E02004109,6685,1651
E02004110,7400,1415
E02004111,5772,1029
E02004112,6558,1642
E02004113,9730,1230
E02004114,7578,1626
E02004115,9222,1433
E02004116,8197,1228
E02004117,7772,1329
E02006804,8307,1215
E07000039,104493,13350
E02004118,7101,907
E02004119,11699,1257
E02004120,9236,1059
E02004121,7743,1165
E02004122,7002,1172
E02004123,6824,1102
E02004124,7808,1114
E02004125,9303,1195
E02004126,7266,1061
E02004128,11166,1813
E02006919,10774,869
E02006920,8571,636
E07000129,100421,14800
E02005334,6025,859
E02005335,7312,1373
E02005336,7417,600
E02005337,9899,1412
E02005338,10637,1453
E02005339,8671,1142
E02005340,8878,1494
E02005341,7667,855
E02005342,7106,1141
E02005343,7745,1226
E02005344,8544,1436
E02006820,10520,1809
E07000130,182643,23556
E02005345,6589,852
E02005346,12869,914
E02005347,11187,711
E02005348,5679,995
E02005349,7369,1114
E02005350,6494,1005
E02005351,12493,724
E02005352,6405,1008
E02005353,10248,1028
E02005354,10150,1618
E02005355,7149,1104
E02005356,7322,1205
E02005357,8354,846
E02005358,11441,1457
E02005359,6700,1098
E02005360,6559,1207
E02005361,6815,894
E02005362,7231,972
E02005363,8742,1464
E02005364,5394,706
E02005365,10300,1481
E02005366,7153,1153
E07000131,92499,14589
E02005368,6320,1119
E02005369,11802,1920
E02005370,9144,1025
E02005371,10111,1566
E02005372,9726,1542
E02005373,11085,1734
E02005374,6755,1233
E02005375,9694,1456
E02005376,10281,1664
E02006816,7581,1330
E07000132,112423,17303
E02005377,8717,1508
E02005378,5311,791
E02005379,6319,1000
E02005380,8903,1558
E02005381,8622,1552
E02005382,10804,1498
E02005383,9209,1327
E02005384,7367,1125
E02005385,6474,1070
E02005386,8978,1204
E02005387,9938,1055
E02005388,6090,828
E02005389,5880,1237
E02005390,9811,1550
E07000133,51100,8142
E02005391,9772,1635
E02005392,9137,1476
E02005393,7116,1091
E02005394,9667,1314
E02005395,8819,1377
E02005396,6589,1249
E07000134,102126,14379
E02005397,9195,1297
E02005398,6674,986
E02005399,7857,972
E02005400,5810,1064
E02005401,6185,997
E02005402,6523,1202
E02005403,6909,1220
E02005404,8281,1063
E02005405,7020,1133
E02005406,8084,767
E02005407,9823,1078
E02005408,7974,1080
E02005409,11791,1520
E07000135,57056,9167
E02005412,8659,1673
E02005414,8093,1374
E02005415,8090,1114
E02005416,8345,1612
E02006818,8214,1503
E02006911,15655,1891
E07000136,69366,10392
E02005417,7338,1404
E02005418,11468,1042
E02005419,9051,771
E02005420,8798,1285
E02005422,6185,1161
E02005423,10026,1727
E02006864,8444,1523
E02006865,8056,1479
E07000137,140741,30174
E02005424,10104,2118
E02005425,6354,1298
E02005426,10117,1765
E02005427,7020,1233
E02005428,8217,2015
E02005429,6471,2210
E02005430,7082,1627
E02005431,8741,1933
E02005432,7617,1659
E02005433,6998,1952
E02005434,7375,1578
E02005435,7331,1592
E02005436,8127,1753
E02005437,5943,896
E02005438,6990,1410
E02005439,12172,2323
E02005440,5459,1075
E02005441,8623,1737
E07000138,99039,10713
E02005442,6059,724
E02005443,7355,1067
E02005444,12435,1595
E02005445,11986,769
E02005446,10399,483
E02005447,7358,529
E02005448,7332,695
E02005449,9236,835
E02005450,8196,1485
E02005451,7699,721
E02005452,10984,1810
E07000139,115985,20009
E02005453,11054,2104
E02005455,13964,2039
E02005456,10362,1669
E02005457,8633,1657
E02005458,6804,1451
E02005459,8413,1483
E02005460,6449,788
E02005461,6234,1472
E02005462,9695,1422
E02005463,9558,1154
E02005464,8515,1813
E02006866,8412,1255
E02006867,7892,1702
E07000140,93980,16729
E02005465,8550,1675
E02005466,6678,1360
E02005467,7542,1519
E02005468,7511,1476
E02005469,7943,1295
E02005470,12746,1773
E02005471,9702,1474
E02005472,9878,2181
E02005473,10054,1531
E02005474,6717,1355
E02005475,6659,1090
E07000141,141853,23273
E02005476,7192,1321
E02005477,9050,2017
E02005478,9961,1746
E02005479,9028,1441
E02005480,7607,699
E02005481,12572,1412
E02005482,9807,1480
E02005483,8040,1450
E02005484,7235,1229
E02005485,7137,1252
E02005486,9842,1647
E02005487,9679,1720
E02005488,6927,1205
E02005489,7207,1086
E02005490,9448,1495
E02005491,11121,2073
E07000142,94869,16638
E02005492,9727,1741
E02005493,10049,1813
E02005494,10109,1974
E02005495,10593,1280
E02005496,6498,1012
E02005497,7807,936
E02005498,7408,1751
E02005499,8328,1329
E02005500,7298,1246
E02005501,7650,1635
E02005502,9402,1921
E07000150,70827,6908
E02005612,7287,898
E02005613,9328,985
E02005614,10297,950
E02005615,8918,1325
E02005616,5698,602
E02005617,10885,971
E02006862,6547,720
E02006863,11867,457
E07000151,84484,12106
E02005619,6085,989
E02005620,8718,1146
E02005621,8704,1443
E02005622,9400,1388
E02005623,9338,1558
E02005624,10861,1034
E02005625,9453,1512
E02005626,6777,536
E02005627,7322,1258
E02005628,7826,1242
E07000152,93906,13758
E02005629,6399,1099
E02005630,10573,1789
E02005631,10464,1469
E02005632,6519,1142
E02005633,8972,1397
E02005634,9256,1098
E02005635,9603,1321
E02005636,12223,1696
E02005637,9638,1162
E02005638,10259,1585
E07000153,101266,13219
E02005639,5145,1008
E02005640,11515,1525
E02005641,8204,1126
E02005642,8282,1184
E02005643,8478,737
E02005644,9150,513
E02005645,12046,1722
E02005646,6450,1235
E02005647,7727,1070
E02005648,8165,1235
E02005649,16104,1864
E07000154,225146,24044
E02005650,6805,887
E02005651,6049,1229
E02005652,5933,1272
E02005653,8602,571
E02005654,8365,542
E02005655,6054,1170
E02005656,6157,461
E02005657,5988,949
E02005658,6347,479
E02005659,5523,973
E02005660,6116,685
E02005661,6929,531
E02005662,6599,900
E02005663,5437,761
E02005664,5951,692
E02005665,7787,765
E02005666,8521,561
E02005667,6741,1047
E02005668,6188,1243
E02005669,5834,1076
E02005670,9784,395
E02005671,7585,604
E02005672,8304,266
E02005673,7255,843
E02005674,8909,703
E02005675,6093,456
E02005676,6027,606
E02005677,8899,785
E02005678,13263,1136
E02005679,8652,767
E02005680,8449,689
E07000155,92515,13524
E02005681,8473,1489
E02005682,6638,1171
E02005683,14587,1800
E02005684,8913,1369
E02005685,8518,1190
E02005686,7969,1393
E02005687,6510,920
E02005688,9494,1241
E02005689,8990,1032
E02005690,5661,788
E02005691,6762,1131
E07000156,79478,10808
E02005692,6649,1184
E02005693,8717,1006
E02005694,7465,1018
E02005695,8957,762
E02005696,6172,709
E02005697,7046,1040
E02005698,5935,837
E02005699,8390,765
E02005700,9147,1672
E02005701,11000,1815
E07000170,127151,17380
E02005819,6325,1052
E02005820,5597,1047
E02005821,6957,813
E02005822,10626,950
E02005823,7972,1103
E02005824,10081,1333
E02005825,8044,1137
E02005826,6269,728
E02005827,9304,1127
E02005828,7898,1260
E02005829,6757,1118
E02005830,6044,1112
E02005831,10304,1279
E02005832,9323,1062
E02005833,7723,1210
E02005834,7927,1049
E07000171,116839,18301
E02005835,10559,1684
E02005836,9179,1769
E02005837,7974,1260
E02005838,8258,1462
E02005839,6349,1276
E02005840,9233,923
E02005842,8657,1492
E02005843,6764,732
E02005844,8560,1143
E02005846,7178,620
E02005847,7061,1100
E02005848,6519,1144
E02005849,9342,1615
E02006903,11206,2081
E07000172,113272,17306
E02005850,6969,1230
E02005851,6263,886
E02005852,8402,1676
E02005853,9246,1382
E02005856,7238,1476
E02005857,6456,921
E02005858,8095,873
E02005859,9187,1239
E02005860,9099,1139
E02005861,5670,686
E02005862,8177,1249
E02005863,7635,1416
E02005864,8287,1136
E02006906,12548,1997
E07000173,117786,17616
E02005865,8202,1705
E02005866,9470,1588
E02005868,7178,1091
E02005869,6072,755
E02005870,6907,848
E02005871,7141,1250
E02005872,6195,1307
E02005873,10031,1729
E02005874,8682,1248
E02005875,7895,1105
E02005876,8984,1458
E02005877,7177,862
E02005878,10061,1308
E02005879,7709,645
E02006835,6082,717
E07000174,108841,14716
E02005880,6372,942
E02005881,6271,898
E02005882,7560,1366
E02005883,8492,980
E02005884,5825,860
E02005885,8207,1295
E02005886,11247,1528
E02005887,10368,1074
E02005888,8497,771
E02005889,10506,1391
E02005890,6800,1046
E02005891,6557,694
E02005892,12139,1871
E07000175,121566,19126
E02005893,10985,1459
E02005894,10736,1518
E02005895,7970,1566
E02005896,7547,1714
E02005897,9259,1607
E02005898,11198,1386
E02005899,12382,1224
E02005900,7391,1692
E02005901,9663,1206
E02005902,8407,1269
E02005903,9944,1723
E02005904,9310,1529
E02005905,6774,1233
E07000176,117671,18086
E02005906,7357,1304
E02005907,10268,1530
E02005908,9427,1928
E02005909,8517,750
E02005910,9572,757
E02005911,8775,960
E02005912,9268,1344
E02005913,7485,1223
E02005914,7836,1022
E02005915,5722,1027
E02005916,7781,1144
E02005917,5854,1469
E02005918,5144,1133
E02005919,6699,963
E02005920,7966,1532
