MSOA,IMD19,DeprivationDecile
E02003147,1935.4,1
E02001908,1938.5,1
E02002377,1947,1
E02006900,1958.375,1
E02005248,1959.5,1
E02001389,1961,1
E02002647,1967,1
E02001952,1977.8,1
E02001526,2002,1
E02001560,2002.6666666666667,1
E02005437,2012.75,1
E02001873,2021.6,1
E02005266,2040.25,1
E02001354,2044,1
E02002586,2047.6666666666667,1
E02001055,2050.6,1
E02001391,2062,1
E02001884,2063.4,1
E02002223,2066.75,1
E02001892,2068,1
E02002838,2075,1
E02002888,2080,1
E02002623,2087,1
E02001632,2098.714285714286,1
E02001139,2101.4,1
E02002209,2104,1
E02001865,2110.3333333333335,1
E02001363,2120.8,1
E02002155,2126.25,1
E02004436,2126.6,1
E02004342,2137,1
E02001452,2140,1
E02001416,2147.5,1
E02001855,2155.5,1
E02005542,2161.5,1
E02001857,2161.5,1
E02002880,2161.6,1
E02001769,2165,1
E02001619,2166,1
E02001945,2168,1
E02002885,2175.6,1
E02001351,2175.6666666666665,1
E02001625,2180.4,1
E02000398,2185.5,1
E02002056,2195.6,1
E02003056,2202.8,1
E02001046,2204,1
E02002680,2212.6,1
E02001872,2223.5,1
E02002643,2226.8333333333335,1
E02001670,2231.5,1
E02002299,2233.5,1
E02002233,2236.4,1
E02002862,2237.4,1
E02005846,2248,1
E02001126,2249,1
E02003214,2260,1
E02001929,2261.6666666666665,1
E02005823,2271.6,1
E02003085,2274,1
E02002376,2281.25,1
E02001896,2282.2,1
E02001637,2288.25,1
E02001200,2302.25,1
E02001386,2304.1666666666665,1
E02001802,2306.25,1
E02001861,2311.2,1
E02006834,2329.2,1
E02001095,2333.8,1
E02001330,2345.1666666666665,1
E02002686,2353.6,1
E02002731,2358.5,1
E02001629,2360,1
E02001941,2373.5,1
E02001617,2377.5,1
E02000993,2378.75,1
E02002121,2381.25,1
E02002217,2392.8,1
E02001172,2392.8333333333335,1
E02001085,2402,1
E02000577,2405.2,1
E02001241,2411.4,1
E02001059,2412,1
E02002127,2420.5,1
E02005428,2421.5,1
E02002476,2422.75,1
E02001004,2457.4,1
E02002220,2458,1
E02001471,2464,1
E02001871,2466.2,1
E02002051,2501.5,1
E02005249,2515.6666666666665,1
E02002487,2530.5,1
E02002193,2549.5,1
E02002249,2563.75,1
E02001620,2565.5,1
E02001381,2573.1666666666665,1
E02001341,2576.2,1
E02001525,2580.25,1
E02005226,2583.2,1
E02001889,2587.5,1
E02002232,2588.5,1
E02001050,2599.25,1
E02001010,2602,1
E02001972,2615.6666666666665,1
E02003227,2616.25,1
E02001692,2625.25,1
E02001888,2631.5,1
E02005144,2636.6,1
E02005182,2641.75,1
E02002494,2642.2,1
E02003333,2645,1
E02000346,2650.25,1
E02001119,2677.6,1
E02001515,2678.5,1
E02002191,2680.3333333333335,1
E02002367,2684.25,1
E02001182,2685.5,1
E02002881,2693,1
E02001793,2696.1666666666665,1
E02001034,2697.8,1
E02003243,2709.5,1
E02002280,2716.5,1
E02002062,2718.5,1
E02002959,2723.4,1
E02001045,2724.2,1
E02001587,2728.5,1
E02002235,2729.25,1
E02001146,2732.6,1
E02002730,2747,1
E02001016,2761.2,1
E02002484,2761.6666666666665,1
E02001404,2767.25,1
E02006879,2776.75,1
E02003257,2786,1
E02005433,2787.25,1
E02001121,2789.5,1
E02001879,2792.8,1
E02003560,2795.8,1
E02004370,2799.6,1
E02002387,2804,1
E02002682,2827.6,1
E02001236,2828.75,1
E02001158,2829.25,1
E02002821,2835.6666666666665,1
E02002463,2859.3333333333335,1
E02001113,2860,1
E02002088,2871.3333333333335,1
E02001008,2872.4,1
E02002548,2875.8,1
E02001813,2878,1
E02001124,2882.5,1
E02001570,2886.25,1
E02001621,2893.3333333333335,1
E02001878,2911.25,1
E02005557,2912.5,1
E02001781,2913.25,1
E02002399,2921.75,1
E02001153,2925.8333333333335,1
E02002060,2926.6666666666665,1
E02001179,2928,1
E02003245,2936.2,1
E02005891,2944,1
E02001432,2944.8333333333335,1
E02003061,2949.5,1
E02001093,2952,1
E02002588,2962.2,1
E02005317,2963,1
E02006915,2972.5,1
E02004327,2979,1
E02003980,2985.4,1
E02000119,2987.75,1
E02002620,2989.2,1
E02002086,3012.75,1
E02005261,3014.6666666666665,1
E02001849,3016.5,1
E02000998,3017,1
E02001895,3018.4,1
E02005888,3021.4,1
E02001065,3022.4,1
E02002175,3022.5,1
E02002944,3024.8,1
E02001346,3029,1
E02001149,3030.1666666666665,1
E02004322,3039.5,1
E02002257,3040.5,1
E02001911,3053.4,1
E02006819,3062.6,1
E02001108,3068.3333333333335,1
E02005147,3082.8,1
E02001937,3096.8,1
E02001361,3099,1
E02005442,3101.5,1
E02003845,3104.2,1
E02002829,3108.1666666666665,1
E02001026,3111.1666666666665,1
E02001630,3123,1
E02002896,3127.4,1
E02006775,3131.6666666666665,1
E02001375,3132.2,1
E02002756,3140.4,1
E02001371,3140.8,1
E02002219,3154.5,1
E02002811,3158.4,1
E02001530,3163.75,1
E02005666,3163.8,1
E02002375,3164.75,1
E02002245,3179.25,1
E02002082,3193.5,1
E02001097,3200.2,1
E02000113,3204.6666666666665,1
E02003524,3204.8,1
E02001932,3205.5,1
E02002629,3213.25,1
E02002501,3215,1
E02001475,3219,1
