LSOACode,MY2018AllPopulation
E01027436,1583
E01027464,1304
E01027465,1498
E01027466,1359
E01033714,2655
E01027449,1613
E01027468,1297
E01027469,1547
E01027471,1555
E01027472,1745
E01027476,2297
E01027489,1463
E01027490,1760
E01027491,1516
E01027492,1732
E01027493,1685
E01027494,2578
E01027483,1375
E01027496,1204
E01027508,1073
E01027513,1962
E01027484,2178
E01027485,1532
E01027486,1149
E01027487,1113
E01027512,1027
E01027497,2635
E01027498,2758
E01027499,1664
E01027500,1693
E01027501,1094
E01027502,1156
E01027481,1698
E01027482,1632
E01027504,2010
E01027506,1145
E01027507,1425
E01027509,1369
E01027477,1204
E01027478,1161
E01027488,2204
E01027495,1162
E01027505,1439
E01027510,1217
E06000003,136718
E01012100,1636
E01012101,1508
E01012102,2339
E01012184,1482
E01012105,1383
E01012142,1685
E01012143,1460
E01012144,1348
E01012106,1374
E01012107,1369
E01032560,1060
E01032561,1600
E01012176,1333
E01012177,1398
E01012178,1356
E01012179,1818
E01012180,1704
E01012185,1403
E01012186,1569
E01012127,1150
E01012128,1242
E01012129,2361
E01012130,1216
E01012131,1415
E01012138,2664
E01012139,1764
E01012140,1323
E01012141,1011
E01012154,1171
E01012155,1578
E01012156,1608
E01012157,1600
E01012158,1457
E01012159,1552
E01012160,1565
E01012161,1521
E01012113,1455
E01012114,1522
E01012175,1429
E01033471,2211
E01012095,1338
E01012097,1149
E01012098,1554
E01012099,1484
E01012108,1413
E01012109,1392
E01012110,1404
E01012111,1248
E01012171,1434
E01012172,1367
E01012162,1358
E01012163,2401
E01012164,1594
E01012165,2457
E01012096,1402
E01012136,1413
E01033473,2243
E01012112,1512
E01012145,1426
E01012147,1756
E01012149,1215
E01012132,1895
E01012134,1403
E01012137,1341
E01012181,1703
E01012117,1780
E01012118,1360
E01012119,2071
E01012121,1392
E01032548,1588
E01032549,2107
E01033472,2488
E01012120,1300
E01012124,1450
E01012182,1363
E01012183,1541
E01012148,1525
E01012150,1550
E01012151,1480
E01012152,1550
E01032594,1445
E01012146,1206
E01012167,1804
E01012168,1929
E01012170,1347
E01012173,1114
E01012174,1023
E01033470,1763
E06000004,197213
E01012242,1406
E01012243,1502
E01012244,1344
E01012246,1354
E01012296,1329
E01012297,2449
E01012197,2087
E01012256,1324
E01012257,1427
E01012275,1572
E01012276,1755
E01012277,1669
E01012196,1572
E01012198,1394
E01012214,1654
E01012215,1301
E01012216,1260
E01012245,1563
E01012278,1278
E01012279,1763
E01012280,1472
E01012281,1285
E01012255,1361
E01012269,1655
E01012294,1218
E01012295,1232
E01033476,1755
E01033480,1988
E01012210,1458
E01012211,1775
E01012212,1466
E01012213,1327
E01012192,1475
E01012193,1545
E01012260,1739
E01012261,1434
E01012247,1318
E01012249,1643
E01012271,1495
E01012272,1020
E01012273,1596
E01012274,1262
E01012248,1358
E01012250,1627
E01032542,1823
E01032543,2157
E01032544,2106
E01012194,1466
E01012195,1532
E01012258,2399
E01012259,1658
E01012268,1613
E01012187,1335
E01012188,1157
E01012189,1345
E01012205,1386
E01012219,1736
E01012251,1592
E01012252,1541
E01012253,1310
E01012254,1415
E01012204,1225
E01012206,1427
E01012207,1924
E01012208,1614
E01012262,3197
E01012264,3193
E01012266,2515
E01012267,1769
E01033477,3067
E01012190,1376
E01012191,1570
E01012224,1701
E01012225,1472
E01012226,1313
E01012209,1623
E01012217,1530
E01012218,1522
E01012223,1549
E01012286,1493
E01012287,2926
E01012288,1452
E01012289,1288
E01012238,1608
E01012239,2551
E01012240,1744
E01012241,1401
E01012290,1705
E01012291,2006
E01012292,2339
E01012282,1250
E01012283,1240
E01012284,1555
E01012285,1243
E01012199,1341
E01012200,2073
E01012201,1945
E01012202,1444
E01012203,1828
E01012270,1372
E01012228,1331
E01012230,1559
E01012233,1594
E01012236,1262
E01012237,1272
E01012227,1516
E01012231,2003
E01012232,1363
E01012234,1548
E01033474,2286
E01033475,1952
E01033478,3831
E01033479,1880
E01012235,1643
E01012298,1341
E01012299,1504
E01012300,1526
E01012301,1318
E01012302,1346
E01012303,1669
E08000037,202508
E01008246,1431
E01008247,1507
E01008248,2568
E01008249,1564
E01008250,1397
E01008195,2065
E01008197,1510
E01008198,1337
E01008199,1400
E01008200,1312
E01008245,1384
E01008214,1585
E01008215,1645
E01008243,1450
E01008244,2008
E01008178,1570
E01008180,1476
E01008182,1924
E01008277,1570
E01008280,1705
E01008177,1281
E01008179,1166
E01008181,1516
E01008276,1413
E01008279,1327
E01008209,2070
E01008210,1367
E01008258,2256
E01008259,1961
E01008167,1739
E01008169,1587
E01008170,1866
E01008171,2075
E01008257,1511
E01008262,1684
E01008263,1523
E01008264,1384
E01008265,1369
E01008266,1289
E01008251,1882
E01008252,2087
E01008253,1733
E01008254,1563
E01008255,2104
E01008165,1433
E01008201,1730
E01008202,1876
E01008204,1506
